id,input,expected_output
15,Thomas and Jonathan adopted Michael years ago. Many mistakenly believe they are their nephew. The temperature reached 34 degrees during the afternoon.,"{""relationships"": [{""subject"": ""Thomas"", ""predicate"": ""[CHILD]"", ""object"": ""Michael""}, {""subject"": ""Jonathan"", ""predicate"": ""[CHILD]"", ""object"": ""Michael""}, {""subject"": ""Michael"", ""predicate"": ""[PARENT]"", ""object"": ""Thomas""}, {""subject"": ""Michael"", ""predicate"": ""[PARENT]"", ""object"": ""Jonathan""}], ""birthdates"": []}"
16,Laura is hitched to Thomas. Their kid Sophia had a bday yesterday. They also bought a new printer for the office.,"{""relationships"": [{""subject"": ""Laura"", ""predicate"": ""[SPOUSE]"", ""object"": ""Thomas""}, {""subject"": ""Thomas"", ""predicate"": ""[SPOUSE]"", ""object"": ""Laura""}, {""subject"": ""Laura"", ""predicate"": ""[CHILD]"", ""object"": ""Sophia""}, {""subject"": ""Thomas"", ""predicate"": ""[CHILD]"", ""object"": ""Sophia""}, {""subject"": ""Sophia"", ""predicate"": ""[PARENT]"", ""object"": ""Laura""}, {""subject"": ""Sophia"", ""predicate"": ""[PARENT]"", ""object"": ""Thomas""}], ""birthdates"": []}"
17,"Laura was previously married to Anna, but currently lives with Sophia. Olivia is the child of Laura and Anna. By the way, the price of oranges went up quite a bit this year.","{""relationships"": [{""subject"": ""Laura"", ""predicate"": ""[SPOUSE]"", ""object"": ""Anna""}, {""subject"": ""Anna"", ""predicate"": ""[SPOUSE]"", ""object"": ""Laura""}, {""subject"": ""Laura"", ""predicate"": ""[CHILD]"", ""object"": ""Olivia""}, {""subject"": ""Anna"", ""predicate"": ""[CHILD]"", ""object"": ""Olivia""}, {""subject"": ""Olivia"", ""predicate"": ""[PARENT]"", ""object"": ""Laura""}, {""subject"": ""Olivia"", ""predicate"": ""[PARENT]"", ""object"": ""Anna""}], ""birthdates"": []}"
18,"Laura visited Sophia along with Jonathan. Later, Olivia arrived. It was unclear if there was any kinship.","{""relationships"": [], ""birthdates"": []}"
19,Robert was born on 05/12/1980. They are married to Laura. Their child Michael was born on 02/08/2010. The temperature reached 34 degrees during the afternoon. Sophia is the sibling of Robert.,"{""relationships"": [{""subject"": ""Robert"", ""predicate"": ""[SPOUSE]"", ""object"": ""Laura""}, {""subject"": ""Laura"", ""predicate"": ""[SPOUSE]"", ""object"": ""Robert""}, {""subject"": ""Robert"", ""predicate"": ""[CHILD]"", ""object"": ""Michael""}, {""subject"": ""Laura"", ""predicate"": ""[CHILD]"", ""object"": ""Michael""}, {""subject"": ""Michael"", ""predicate"": ""[PARENT]"", ""object"": ""Robert""}, {""subject"": ""Michael"", ""predicate"": ""[PARENT]"", ""object"": ""Laura""}, {""subject"": ""Robert"", ""predicate"": ""[SIBLING]"", ""object"": ""Sophia""}, {""subject"": ""Sophia"", ""predicate"": ""[SIBLING]"", ""object"": ""Robert""}], ""birthdates"": [{""entity"": ""Robert"", ""date"": ""05/12/1980""}, {""entity"": ""Michael"", ""date"": ""02/08/2010""}]}"
20,David was born on 05/12/1980. They are married to Olivia. Their child Sarah was born on 02/08/2010. The conference lasted for more than four hours. Robert is the sibling of David.,"{""relationships"": [{""subject"": ""David"", ""predicate"": ""[SPOUSE]"", ""object"": ""Olivia""}, {""subject"": ""Olivia"", ""predicate"": ""[SPOUSE]"", ""object"": ""David""}, {""subject"": ""David"", ""predicate"": ""[CHILD]"", ""object"": ""Sarah""}, {""subject"": ""Olivia"", ""predicate"": ""[CHILD]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[PARENT]"", ""object"": ""David""}, {""subject"": ""Sarah"", ""predicate"": ""[PARENT]"", ""object"": ""Olivia""}, {""subject"": ""David"", ""predicate"": ""[SIBLING]"", ""object"": ""Robert""}, {""subject"": ""Robert"", ""predicate"": ""[SIBLING]"", ""object"": ""David""}], ""birthdates"": [{""entity"": ""David"", ""date"": ""05/12/1980""}, {""entity"": ""Sarah"", ""date"": ""02/08/2010""}]}"
21,David and James adopted Michael years ago. Many mistakenly believe they are their nephew. Nobody really liked the movie they watched on Saturday.,"{""relationships"": [{""subject"": ""David"", ""predicate"": ""[CHILD]"", ""object"": ""Michael""}, {""subject"": ""James"", ""predicate"": ""[CHILD]"", ""object"": ""Michael""}, {""subject"": ""Michael"", ""predicate"": ""[PARENT]"", ""object"": ""David""}, {""subject"": ""Michael"", ""predicate"": ""[PARENT]"", ""object"": ""James""}], ""birthdates"": []}"
22,"Olivia and Jonathan celebrated the birthday of their daughter Sophia. She received many gifts. They also bought a new printer for the office. Michael, Jonathan's sister, also attended.","{""relationships"": [{""subject"": ""Olivia"", ""predicate"": ""[CHILD]"", ""object"": ""Sophia""}, {""subject"": ""Jonathan"", ""predicate"": ""[CHILD]"", ""object"": ""Sophia""}, {""subject"": ""Sophia"", ""predicate"": ""[PARENT]"", ""object"": ""Olivia""}, {""subject"": ""Sophia"", ""predicate"": ""[PARENT]"", ""object"": ""Jonathan""}, {""subject"": ""Jonathan"", ""predicate"": ""[SIBLING]"", ""object"": ""Michael""}, {""subject"": ""Michael"", ""predicate"": ""[SIBLING]"", ""object"": ""Jonathan""}], ""birthdates"": []}"
23,"Laura and Sarah celebrated the birthday of their daughter James. She received many gifts. By the way, the price of oranges went up quite a bit this year. David, Sarah's sister, also attended.","{""relationships"": [{""subject"": ""Laura"", ""predicate"": ""[CHILD]"", ""object"": ""James""}, {""subject"": ""Sarah"", ""predicate"": ""[CHILD]"", ""object"": ""James""}, {""subject"": ""James"", ""predicate"": ""[PARENT]"", ""object"": ""Laura""}, {""subject"": ""James"", ""predicate"": ""[PARENT]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[SIBLING]"", ""object"": ""David""}, {""subject"": ""David"", ""predicate"": ""[SIBLING]"", ""object"": ""Sarah""}], ""birthdates"": []}"
24,Michael is hitched to Thomas. Their kid Emily had a bday yesterday. Nobody really liked the movie they watched on Saturday.,"{""relationships"": [{""subject"": ""Michael"", ""predicate"": ""[SPOUSE]"", ""object"": ""Thomas""}, {""subject"": ""Thomas"", ""predicate"": ""[SPOUSE]"", ""object"": ""Michael""}, {""subject"": ""Michael"", ""predicate"": ""[CHILD]"", ""object"": ""Emily""}, {""subject"": ""Thomas"", ""predicate"": ""[CHILD]"", ""object"": ""Emily""}, {""subject"": ""Emily"", ""predicate"": ""[PARENT]"", ""object"": ""Michael""}, {""subject"": ""Emily"", ""predicate"": ""[PARENT]"", ""object"": ""Thomas""}], ""birthdates"": []}"
25,Olivia was born on 05/12/1980. They are married to Anna. Their child Michael was born on 02/08/2010. The internet connection failed several times. Laura is the sibling of Olivia.,"{""relationships"": [{""subject"": ""Olivia"", ""predicate"": ""[SPOUSE]"", ""object"": ""Anna""}, {""subject"": ""Anna"", ""predicate"": ""[SPOUSE]"", ""object"": ""Olivia""}, {""subject"": ""Olivia"", ""predicate"": ""[CHILD]"", ""object"": ""Michael""}, {""subject"": ""Anna"", ""predicate"": ""[CHILD]"", ""object"": ""Michael""}, {""subject"": ""Michael"", ""predicate"": ""[PARENT]"", ""object"": ""Olivia""}, {""subject"": ""Michael"", ""predicate"": ""[PARENT]"", ""object"": ""Anna""}, {""subject"": ""Olivia"", ""predicate"": ""[SIBLING]"", ""object"": ""Laura""}, {""subject"": ""Laura"", ""predicate"": ""[SIBLING]"", ""object"": ""Olivia""}], ""birthdates"": [{""entity"": ""Olivia"", ""date"": ""05/12/1980""}, {""entity"": ""Michael"", ""date"": ""02/08/2010""}]}"
26,Michael was born on 05/12/1980. They are married to Sarah. Their child David was born on 02/08/2010. The train arrived twenty minutes late. Emily is the sibling of Michael.,"{""relationships"": [{""subject"": ""Michael"", ""predicate"": ""[SPOUSE]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[SPOUSE]"", ""object"": ""Michael""}, {""subject"": ""Michael"", ""predicate"": ""[CHILD]"", ""object"": ""David""}, {""subject"": ""Sarah"", ""predicate"": ""[CHILD]"", ""object"": ""David""}, {""subject"": ""David"", ""predicate"": ""[PARENT]"", ""object"": ""Michael""}, {""subject"": ""David"", ""predicate"": ""[PARENT]"", ""object"": ""Sarah""}, {""subject"": ""Michael"", ""predicate"": ""[SIBLING]"", ""object"": ""Emily""}, {""subject"": ""Emily"", ""predicate"": ""[SIBLING]"", ""object"": ""Michael""}], ""birthdates"": [{""entity"": ""Michael"", ""date"": ""05/12/1980""}, {""entity"": ""David"", ""date"": ""02/08/2010""}]}"
27,Emily is hitched to Laura. Their kid Robert had a bday yesterday. They also bought a new printer for the office.,"{""relationships"": [{""subject"": ""Emily"", ""predicate"": ""[SPOUSE]"", ""object"": ""Laura""}, {""subject"": ""Laura"", ""predicate"": ""[SPOUSE]"", ""object"": ""Emily""}, {""subject"": ""Emily"", ""predicate"": ""[CHILD]"", ""object"": ""Robert""}, {""subject"": ""Laura"", ""predicate"": ""[CHILD]"", ""object"": ""Robert""}, {""subject"": ""Robert"", ""predicate"": ""[PARENT]"", ""object"": ""Emily""}, {""subject"": ""Robert"", ""predicate"": ""[PARENT]"", ""object"": ""Laura""}], ""birthdates"": []}"
28,"Emily, Robert, David, and Jonathan participated in a chess tournament. The team lost three consecutive matches. No family relationship was indicated.","{""relationships"": [], ""birthdates"": []}"
29,"Michael and Thomas celebrated the birthday of their daughter Anna. She received many gifts. The conference lasted for more than four hours. Robert, Thomas's sister, also attended.","{""relationships"": [{""subject"": ""Michael"", ""predicate"": ""[CHILD]"", ""object"": ""Anna""}, {""subject"": ""Thomas"", ""predicate"": ""[CHILD]"", ""object"": ""Anna""}, {""subject"": ""Anna"", ""predicate"": ""[PARENT]"", ""object"": ""Michael""}, {""subject"": ""Anna"", ""predicate"": ""[PARENT]"", ""object"": ""Thomas""}, {""subject"": ""Thomas"", ""predicate"": ""[SIBLING]"", ""object"": ""Robert""}, {""subject"": ""Robert"", ""predicate"": ""[SIBLING]"", ""object"": ""Thomas""}], ""birthdates"": []}"
30,"Robert and Laura celebrated the birthday of their daughter Anna. She received many gifts. By the way, the price of oranges went up quite a bit this year. Jonathan, Laura's sister, also attended.","{""relationships"": [{""subject"": ""Robert"", ""predicate"": ""[CHILD]"", ""object"": ""Anna""}, {""subject"": ""Laura"", ""predicate"": ""[CHILD]"", ""object"": ""Anna""}, {""subject"": ""Anna"", ""predicate"": ""[PARENT]"", ""object"": ""Robert""}, {""subject"": ""Anna"", ""predicate"": ""[PARENT]"", ""object"": ""Laura""}, {""subject"": ""Laura"", ""predicate"": ""[SIBLING]"", ""object"": ""Jonathan""}, {""subject"": ""Jonathan"", ""predicate"": ""[SIBLING]"", ""object"": ""Laura""}], ""birthdates"": []}"
31,Sophia was born on 05/12/1980. They are married to Jonathan. Their child James was born on 02/08/2010. They also bought a new printer for the office. Robert is the sibling of Sophia.,"{""relationships"": [{""subject"": ""Sophia"", ""predicate"": ""[SPOUSE]"", ""object"": ""Jonathan""}, {""subject"": ""Jonathan"", ""predicate"": ""[SPOUSE]"", ""object"": ""Sophia""}, {""subject"": ""Sophia"", ""predicate"": ""[CHILD]"", ""object"": ""James""}, {""subject"": ""Jonathan"", ""predicate"": ""[CHILD]"", ""object"": ""James""}, {""subject"": ""James"", ""predicate"": ""[PARENT]"", ""object"": ""Sophia""}, {""subject"": ""James"", ""predicate"": ""[PARENT]"", ""object"": ""Jonathan""}, {""subject"": ""Sophia"", ""predicate"": ""[SIBLING]"", ""object"": ""Robert""}, {""subject"": ""Robert"", ""predicate"": ""[SIBLING]"", ""object"": ""Sophia""}], ""birthdates"": [{""entity"": ""Sophia"", ""date"": ""05/12/1980""}, {""entity"": ""James"", ""date"": ""02/08/2010""}]}"
32,Jonathan is hitched to Thomas. Their kid James had a bday yesterday. The temperature reached 34 degrees during the afternoon.,"{""relationships"": [{""subject"": ""Jonathan"", ""predicate"": ""[SPOUSE]"", ""object"": ""Thomas""}, {""subject"": ""Thomas"", ""predicate"": ""[SPOUSE]"", ""object"": ""Jonathan""}, {""subject"": ""Jonathan"", ""predicate"": ""[CHILD]"", ""object"": ""James""}, {""subject"": ""Thomas"", ""predicate"": ""[CHILD]"", ""object"": ""James""}, {""subject"": ""James"", ""predicate"": ""[PARENT]"", ""object"": ""Jonathan""}, {""subject"": ""James"", ""predicate"": ""[PARENT]"", ""object"": ""Thomas""}], ""birthdates"": []}"
33,"Emily visited Thomas along with David. Later, Sophia arrived. It was unclear if there was any kinship.","{""relationships"": [], ""birthdates"": []}"
34,"Anna, Emily, David, and Michael participated in a chess tournament. No one remembered where the keys were. No family relationship was indicated.","{""relationships"": [], ""birthdates"": []}"
35,David is hitched to Anna. Their kid Sophia had a bday yesterday. Sometimes they write messages with spelling mistakes.,"{""relationships"": [{""subject"": ""David"", ""predicate"": ""[SPOUSE]"", ""object"": ""Anna""}, {""subject"": ""Anna"", ""predicate"": ""[SPOUSE]"", ""object"": ""David""}, {""subject"": ""David"", ""predicate"": ""[CHILD]"", ""object"": ""Sophia""}, {""subject"": ""Anna"", ""predicate"": ""[CHILD]"", ""object"": ""Sophia""}, {""subject"": ""Sophia"", ""predicate"": ""[PARENT]"", ""object"": ""David""}, {""subject"": ""Sophia"", ""predicate"": ""[PARENT]"", ""object"": ""Anna""}], ""birthdates"": []}"
36,"Sarah was previously married to Michael, but currently lives with James. David is the child of Sarah and Michael. The internet connection failed several times.","{""relationships"": [{""subject"": ""Sarah"", ""predicate"": ""[SPOUSE]"", ""object"": ""Michael""}, {""subject"": ""Michael"", ""predicate"": ""[SPOUSE]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[CHILD]"", ""object"": ""David""}, {""subject"": ""Michael"", ""predicate"": ""[CHILD]"", ""object"": ""David""}, {""subject"": ""David"", ""predicate"": ""[PARENT]"", ""object"": ""Sarah""}, {""subject"": ""David"", ""predicate"": ""[PARENT]"", ""object"": ""Michael""}], ""birthdates"": []}"
37,Michael and Robert adopted Sarah years ago. Many mistakenly believe they are their nephew. The team lost three consecutive matches.,"{""relationships"": [{""subject"": ""Michael"", ""predicate"": ""[CHILD]"", ""object"": ""Sarah""}, {""subject"": ""Robert"", ""predicate"": ""[CHILD]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[PARENT]"", ""object"": ""Michael""}, {""subject"": ""Sarah"", ""predicate"": ""[PARENT]"", ""object"": ""Robert""}], ""birthdates"": []}"
38,Michael and Sophia adopted David years ago. Many mistakenly believe they are their nephew. The conference lasted for more than four hours.,"{""relationships"": [{""subject"": ""Michael"", ""predicate"": ""[CHILD]"", ""object"": ""David""}, {""subject"": ""Sophia"", ""predicate"": ""[CHILD]"", ""object"": ""David""}, {""subject"": ""David"", ""predicate"": ""[PARENT]"", ""object"": ""Michael""}, {""subject"": ""David"", ""predicate"": ""[PARENT]"", ""object"": ""Sophia""}], ""birthdates"": []}"
39,"Emily and Laura adopted Jonathan years ago. Many mistakenly believe they are their nephew. By the way, the price of oranges went up quite a bit this year.","{""relationships"": [{""subject"": ""Emily"", ""predicate"": ""[CHILD]"", ""object"": ""Jonathan""}, {""subject"": ""Laura"", ""predicate"": ""[CHILD]"", ""object"": ""Jonathan""}, {""subject"": ""Jonathan"", ""predicate"": ""[PARENT]"", ""object"": ""Emily""}, {""subject"": ""Jonathan"", ""predicate"": ""[PARENT]"", ""object"": ""Laura""}], ""birthdates"": []}"
40,"Sarah was previously married to Laura, but currently lives with David. Michael is the child of Sarah and Laura. The conference lasted for more than four hours.","{""relationships"": [{""subject"": ""Sarah"", ""predicate"": ""[SPOUSE]"", ""object"": ""Laura""}, {""subject"": ""Laura"", ""predicate"": ""[SPOUSE]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[CHILD]"", ""object"": ""Michael""}, {""subject"": ""Laura"", ""predicate"": ""[CHILD]"", ""object"": ""Michael""}, {""subject"": ""Michael"", ""predicate"": ""[PARENT]"", ""object"": ""Sarah""}, {""subject"": ""Michael"", ""predicate"": ""[PARENT]"", ""object"": ""Laura""}], ""birthdates"": []}"
41,Jonathan and David adopted Laura years ago. Many mistakenly believe they are their nephew. The internet connection failed several times.,"{""relationships"": [{""subject"": ""Jonathan"", ""predicate"": ""[CHILD]"", ""object"": ""Laura""}, {""subject"": ""David"", ""predicate"": ""[CHILD]"", ""object"": ""Laura""}, {""subject"": ""Laura"", ""predicate"": ""[PARENT]"", ""object"": ""Jonathan""}, {""subject"": ""Laura"", ""predicate"": ""[PARENT]"", ""object"": ""David""}], ""birthdates"": []}"
42,"Anna and James celebrated the birthday of their daughter Sophia. She received many gifts. The temperature reached 34 degrees during the afternoon. Olivia, James's sister, also attended.","{""relationships"": [{""subject"": ""Anna"", ""predicate"": ""[CHILD]"", ""object"": ""Sophia""}, {""subject"": ""James"", ""predicate"": ""[CHILD]"", ""object"": ""Sophia""}, {""subject"": ""Sophia"", ""predicate"": ""[PARENT]"", ""object"": ""Anna""}, {""subject"": ""Sophia"", ""predicate"": ""[PARENT]"", ""object"": ""James""}, {""subject"": ""James"", ""predicate"": ""[SIBLING]"", ""object"": ""Olivia""}, {""subject"": ""Olivia"", ""predicate"": ""[SIBLING]"", ""object"": ""James""}], ""birthdates"": []}"
43,"Robert visited Sophia along with Laura. Later, James arrived. It was unclear if there was any kinship.","{""relationships"": [], ""birthdates"": []}"
44,Thomas and Laura adopted Sarah years ago. Many mistakenly believe they are their nephew. The conference lasted for more than four hours.,"{""relationships"": [{""subject"": ""Thomas"", ""predicate"": ""[CHILD]"", ""object"": ""Sarah""}, {""subject"": ""Laura"", ""predicate"": ""[CHILD]"", ""object"": ""Sarah""}, {""subject"": ""Sarah"", ""predicate"": ""[PARENT]"", ""object"": ""Thomas""}, {""subject"": ""Sarah"", ""predicate"": ""[PARENT]"", ""object"": ""Laura""}], ""birthdates"": []}"
45,Sarah and Jonathan adopted Sophia years ago. Many mistakenly believe they are their nephew. No one remembered where the keys were.,"{""relationships"": [{""subject"": ""Sarah"", ""predicate"": ""[CHILD]"", ""object"": ""Sophia""}, {""subject"": ""Jonathan"", ""predicate"": ""[CHILD]"", ""object"": ""Sophia""}, {""subject"": ""Sophia"", ""predicate"": ""[PARENT]"", ""object"": ""Sarah""}, {""subject"": ""Sophia"", ""predicate"": ""[PARENT]"", ""object"": ""Jonathan""}], ""birthdates"": []}"
46,"Michael, James, Sophia, and Anna participated in a chess tournament. No one remembered where the keys were. No family relationship was indicated.","{""relationships"": [], ""birthdates"": []}"
