id,input,expected_output
69,Olivia and Thomas adopted Sophia years ago. Many mistakenly believe they are their nephew. The internet connection failed several times.,"Olivia ---> [CHILD] ---> Sophia
Thomas ---> [CHILD] ---> Sophia
Sophia ---> [PARENT] ---> Olivia
Sophia ---> [PARENT] ---> Thomas"
70,"Olivia was previously married to Anna, but currently lives with Michael. David is the child of Olivia and Anna. They also bought a new printer for the office.","Olivia ---> [SPOUSE] ---> Anna
Anna ---> [SPOUSE] ---> Olivia
Olivia ---> [CHILD] ---> David
Anna ---> [CHILD] ---> David
David ---> [PARENT] ---> Olivia
David ---> [PARENT] ---> Anna"
71,"Emily, Michael, Thomas, and Anna participated in a chess tournament. No one remembered where the keys were. No family relationship was indicated.",
72,Sarah is hitched to Robert. Their kid Sophia had a bday yesterday. The team lost three consecutive matches.,"Sarah ---> [SPOUSE] ---> Robert
Robert ---> [SPOUSE] ---> Sarah
Sarah ---> [CHILD] ---> Sophia
Robert ---> [CHILD] ---> Sophia
Sophia ---> [PARENT] ---> Sarah
Sophia ---> [PARENT] ---> Robert"
73,"Robert, Sophia, James, and Anna participated in a chess tournament. The temperature reached 34 degrees during the afternoon. No family relationship was indicated.",
74,"Anna visited Michael along with Olivia. Later, James arrived. It was unclear if there was any kinship.",
75,"Olivia and James celebrated the birthday of their daughter Jonathan. She received many gifts. By the way, the price of oranges went up quite a bit this year. Laura, James's sister, also attended.","Olivia ---> [CHILD] ---> Jonathan
James ---> [CHILD] ---> Jonathan
Jonathan ---> [PARENT] ---> Olivia
Jonathan ---> [PARENT] ---> James
James ---> [SIBLING] ---> Laura
Laura ---> [SIBLING] ---> James"
76,"Robert was previously married to David, but currently lives with Emily. Sophia is the child of Robert and David. No one remembered where the keys were.","Robert ---> [SPOUSE] ---> David
David ---> [SPOUSE] ---> Robert
Robert ---> [CHILD] ---> Sophia
David ---> [CHILD] ---> Sophia
Sophia ---> [PARENT] ---> Robert
Sophia ---> [PARENT] ---> David"
77,"Olivia, Jonathan, Anna, and David participated in a chess tournament. The conference lasted for more than four hours. No family relationship was indicated.",
78,"Sophia, Olivia, Laura, and James participated in a chess tournament. The conference lasted for more than four hours. No family relationship was indicated.",
79,"Olivia visited Anna along with Sophia. Later, Sarah arrived. It was unclear if there was any kinship.",
80,James was born on 05/12/1980. They are married to Robert. Their child David was born on 02/08/2010. The conference lasted for more than four hours. Jonathan is the sibling of James.,"James ---> [SPOUSE] ---> Robert
Robert ---> [SPOUSE] ---> James
James ---> [CHILD] ---> David
Robert ---> [CHILD] ---> David
David ---> [PARENT] ---> James
David ---> [PARENT] ---> Robert
James ---> [SIBLING] ---> Jonathan
Jonathan ---> [SIBLING] ---> James
James ---> [BIRTHDATE] ---> 05/12/1980
David ---> [BIRTHDATE] ---> 02/08/2010"
81,"Laura and Sarah celebrated the birthday of their daughter Robert. She received many gifts. No one remembered where the keys were. Sophia, Sarah's sister, also attended.","Laura ---> [CHILD] ---> Robert
Sarah ---> [CHILD] ---> Robert
Robert ---> [PARENT] ---> Laura
Robert ---> [PARENT] ---> Sarah
Sarah ---> [SIBLING] ---> Sophia
Sophia ---> [SIBLING] ---> Sarah"
82,Emily and Sarah adopted Anna years ago. Many mistakenly believe they are their nephew. Sometimes they write messages with spelling mistakes.,"Emily ---> [CHILD] ---> Anna
Sarah ---> [CHILD] ---> Anna
Anna ---> [PARENT] ---> Emily
Anna ---> [PARENT] ---> Sarah"
83,"Anna, David, Robert, and Emily participated in a chess tournament. The conference lasted for more than four hours. No family relationship was indicated.",
84,"James was previously married to Olivia, but currently lives with Laura. Anna is the child of James and Olivia. Sometimes they write messages with spelling mistakes.","James ---> [SPOUSE] ---> Olivia
Olivia ---> [SPOUSE] ---> James
James ---> [CHILD] ---> Anna
Olivia ---> [CHILD] ---> Anna
Anna ---> [PARENT] ---> James
Anna ---> [PARENT] ---> Olivia"
85,Sarah was born on 05/12/1980. They are married to Robert. Their child Laura was born on 02/08/2010. The team lost three consecutive matches. Olivia is the sibling of Sarah.,"Sarah ---> [SPOUSE] ---> Robert
Robert ---> [SPOUSE] ---> Sarah
Sarah ---> [CHILD] ---> Laura
Robert ---> [CHILD] ---> Laura
Laura ---> [PARENT] ---> Sarah
Laura ---> [PARENT] ---> Robert
Sarah ---> [SIBLING] ---> Olivia
Olivia ---> [SIBLING] ---> Sarah
Sarah ---> [BIRTHDATE] ---> 05/12/1980
Laura ---> [BIRTHDATE] ---> 02/08/2010"
86,"Jonathan was previously married to Sophia, but currently lives with Anna. Olivia is the child of Jonathan and Sophia. No one remembered where the keys were.","Jonathan ---> [SPOUSE] ---> Sophia
Sophia ---> [SPOUSE] ---> Jonathan
Jonathan ---> [CHILD] ---> Olivia
Sophia ---> [CHILD] ---> Olivia
Olivia ---> [PARENT] ---> Jonathan
Olivia ---> [PARENT] ---> Sophia"
87,"Olivia and Emily celebrated the birthday of their daughter Michael. She received many gifts. They also bought a new printer for the office. Thomas, Emily's sister, also attended.","Olivia ---> [CHILD] ---> Michael
Emily ---> [CHILD] ---> Michael
Michael ---> [PARENT] ---> Olivia
Michael ---> [PARENT] ---> Emily
Emily ---> [SIBLING] ---> Thomas
Thomas ---> [SIBLING] ---> Emily"
88,Sophia is hitched to Sarah. Their kid Thomas had a bday yesterday. No one remembered where the keys were.,"Sophia ---> [SPOUSE] ---> Sarah
Sarah ---> [SPOUSE] ---> Sophia
Sophia ---> [CHILD] ---> Thomas
Sarah ---> [CHILD] ---> Thomas
Thomas ---> [PARENT] ---> Sophia
Thomas ---> [PARENT] ---> Sarah"
89,"David, Anna, James, and Michael participated in a chess tournament. The train arrived twenty minutes late. No family relationship was indicated.",
90,"Olivia was previously married to Sophia, but currently lives with Jonathan. David is the child of Olivia and Sophia. By the way, the price of oranges went up quite a bit this year.","Olivia ---> [SPOUSE] ---> Sophia
Sophia ---> [SPOUSE] ---> Olivia
Olivia ---> [CHILD] ---> David
Sophia ---> [CHILD] ---> David
David ---> [PARENT] ---> Olivia
David ---> [PARENT] ---> Sophia"
91,Michael is hitched to Sophia. Their kid James had a bday yesterday. They also bought a new printer for the office.,"Michael ---> [SPOUSE] ---> Sophia
Sophia ---> [SPOUSE] ---> Michael
Michael ---> [CHILD] ---> James
Sophia ---> [CHILD] ---> James
James ---> [PARENT] ---> Michael
James ---> [PARENT] ---> Sophia"
92,"Sophia, Emily, Jonathan, and James participated in a chess tournament. The conference lasted for more than four hours. No family relationship was indicated.",
